# SPDX-License-Identifier: CC-BY-4.0
# id	filename	bytes	sha256	created	base-or-role	flashed
selector-v3-padded-6MiB	selector-hybrid-v3-6MiB.padded.bin	6291456	4b0197a458749b772554929867c472d2f3eeb887438bd8a0246f38b87f28348f	2026-08-17	U-Boot 527115ef; FIT plus 0xff padding	yes
selector-v3-uboot-payload	u-boot.bin	630536	bdb84cb6970ee2a02425690a7440ad97d14f8b10d105476cd7fc3d9481755ff5	2026-08-17	payload inside selector-v3 FIT	yes-as-FIT-member
selector-v3-fit	wsr2533-phase4m-selector-hybrid-v1.itb	644840	82b9f6f8ba30734a054b496a8c8316fd562e2542b1b34d69bff6feb57abe095e	2026-08-17	Hybrid v3 implementation; historical filename retained v1	yes-as-parent-of-padded
selector-v3-dtb	u-boot.dtb	12840	99908b8ddf3fabc8c59c6622e6865d23e002e1f126f9288a1e9cd66dc42fc771	2026-08-17	DTB inside selector-v3 FIT	yes-as-FIT-member
image2-fit-padded-6MiB	image2-fit-6MiB.padded.bin	6291456	d755f019fbe3cdb764b4e326488459b75046e5f249648cc0d59f63647c19976c	2026-08-17	OpenWrt r33051-f5dae5ece4 raw FIT slot	yes
image2-rootfs-logical	rootfs.squashfs	5224448	412e70ea06412ed5a5db68d6bfc1f5d693a5d7080b4268381e60816136f686f0	2026-08-17	logical UBI volume content, not raw 52MiB UBI	yes-as-volume
oem-1.28-recovery-data	wsr_2533dhp2_jp_128.dec	11608064	0e2dd15f26f56a4fcc61d0e82e394f109d6aff7cf8cabb903a180327d2476c71	2026-08-17	locally derived from vendor download; hash only, file not distributed	yes-to-Image1
